nocontrat;exposition;zone;puissance;agevehicule;ageconducteur;bonus;marque;carburant;densite;region;nbre;no;garantie;cout
59110;1;C;10;5;32;50;2;E;53;13;1;99158;4BG;1228.12
59327;1;E;7;11;80;50;2;E;24;13;4;30108;1RC;749.01
59327;1;E;7;11;80;50;2;E;24;13;4;30040;2DO;2445.75
59327;1;E;7;11;80;50;2;E;24;13;4;30109;2DO;1128.12
59327;1;E;7;11;80;50;2;E;24;13;4;30039;1RC;2523.49
59499;0.53;B;5;0;69;50;2;D;93;13;3;30090;1RC;2271.7
59499;0.53;B;5;0;69;50;2;D;93;13;3;30091;2DO;47.1
59499;0.53;B;5;0;69;50;2;D;93;13;3;30058;3VI;214.37
59670;1;E;4;17;75;50;1;E;24;13;1;36982;4BG;60.1
59755;0.58;E;5;1;57;50;5;D;24;13;1;30050;4BG;362.29
59944;1;E;8;6;40;50;13;E;31;13;1;98646;4BG;701.37
59975;0.74;C;12;5;34;50;10;D;31;13;2;98606;1RC;565.34
59975;0.74;C;12;5;34;50;10;D;31;13;2;98607;2DO;1021.81
60033;1;E;4;2;48;50;4;E;31;13;1;98612;1RC;713.85
60181;1;E;4;12;26;90;2;E;22;2;2;41006;2DO;1128.12
60181;1;E;4;12;26;90;2;E;22;2;2;40995;1RC;156.5
60244;0.84;C;12;3;37;72;10;D;31;6;1;39753;4BG;1121.13
60321;0.15;A;6;0;38;50;1;E;22;13;1;98640;2DO;157.9
60464;1;B;6;7;45;51;6;D;72;12;4;48042;1RC;1131.4
60464;1;B;6;7;45;51;6;D;72;12;4;47986;2DO;1128.12
60464;1;B;6;7;45;51;6;D;72;12;4;47975;1RC;0
60464;1;B;6;7;45;51;6;D;72;12;4;47199;4BG;202.91
60538;0.14;C;6;6;51;73;1;D;72;5;2;30421;4BG;4429.81
60538;0.14;C;6;6;51;73;1;D;72;5;2;28506;2DO;254.36
60689;1;C;4;9;75;50;2;E;72;13;1;47531;4BG;278.72
60872;1;E;6;4;48;50;1;E;53;13;1;76096;2DO;120.29
60967;1;C;7;9;54;50;1;E;41;13;1;97632;4BG;0
61668;0.84;A;5;3;76;50;2;E;72;13;2;88063;2DO;1128.12
61727;0.31;C;7;5;59;50;6;D;72;13;2;70555;1RC;2166.48
61727;0.31;C;7;5;59;50;6;D;72;13;2;70566;2DO;361.88
61732;1;B;6;8;48;50;1;D;54;13;2;71076;4BG;1044.86
61732;1;B;6;8;48;50;1;D;54;13;2;69955;2DO;1128.12
61782;0.17;C;6;3;50;50;13;D;72;13;1;29016;1RC;268.15
62084;1;C;8;10;32;84;4;E;72;3;1;70199;4BG;87.33
62187;1;C;8;14;62;50;10;D;72;13;1;71054;4BG;0
62492;0.16;D;10;7;44;50;1;E;82;13;1;99120;1RC;1128.12
62583;0.92;E;4;14;30;64;1;E;82;8;1;54065;1RC;248.27
62907;1;A;5;9;40;50;5;D;82;13;1;53621;4BG;562.08
63010;0.71;E;7;2;37;50;6;E;93;13;1;25538;2DO;1684.86
63096;0.11;E;11;12;44;50;10;E;93;13;2;25578;3VI;801.95
63096;0.11;E;11;12;44;50;10;E;93;13;2;25577;2DO;614.92
63239;1;E;12;8;54;50;3;E;93;13;1;52799;3VI;986.29
63289;1;E;5;2;48;50;1;D;93;13;1;25494;3VI;418.94
63485;0.49;D;8;10;37;50;13;D;93;13;1;25493;4BG;2075.11
63762;0.41;E;8;9;54;50;10;E;93;13;1;31062;6CL;332.25
64221;0.55;A;6;11;50;50;2;D;82;13;1;71243;4BG;1128.12
64373;1;B;7;12;46;107;2;E;82;-1;2;71298;1RC;1128.12
64373;1;B;7;12;46;107;2;E;82;-1;2;72064;1RC;84.96
64694;0.1;A;5;2;29;60;2;E;82;9;3;71309;4BG;0
64716;1;D;6;7;50;54;3;D;82;11;2;36238;1RC;2200.32
64716;1;D;6;7;50;54;3;D;82;11;2;36249;2DO;345.14
65026;1;B;14;1;46;50;2;E;82;13;1;30340;4BG;73.49
65163;1;D;4;12;43;57;2;E;82;10;1;40318;1RC;54.84
65194;1;C;7;10;34;67;2;D;82;7;1;30374;4BG;174.38
65476;1;D;8;2;39;65;1;D;82;7;1;30144;4BG;114.75
65551;1;A;7;6;46;50;1;D;82;13;1;40973;4BG;1181.6
65730;1;C;5;4;25;68;3;D;93;7;1;30133;3VI;2707.74
65988;0.81;D;10;9;53;50;4;E;91;13;1;25698;2DO;120.52
66036;0.12;A;5;14;42;50;2;E;91;13;1;31341;4BG;1530.8
66155;0.31;C;7;11;59;50;5;D;72;13;1;26939;1RC;162.58
66235;1;E;6;6;39;50;2;D;72;13;3;26985;2DO;1293.59
66235;1;E;6;6;39;50;2;D;72;13;3;27014;2DO;136.68
66235;1;E;6;6;39;50;2;D;72;13;3;26987;4BG;2027.93
66334;1;B;4;8;60;50;5;E;72;13;1;26951;1RC;141.44
66633;0.56;D;9;2;32;79;10;D;91;4;1;24452;1RC;350.26
66636;0.36;E;5;6;29;77;2;D;11;4;1;24415;3VI;1007.47
66742;0.4;E;6;8;26;76;1;D;91;5;1;24428;2DO;203.89
66833;0.26;D;4;18;56;50;2;E;91;13;1;25966;4BG;2615.98
67042;0.44;D;7;7;44;50;2;E;91;13;2;24431;1RC;350.02
67042;0.44;D;7;7;44;50;2;E;91;13;2;24432;2DO;3126.1
67301;1;D;5;6;35;54;5;D;93;11;2;29235;3VI;266.63
67301;1;D;5;6;35;54;5;D;93;11;2;29224;2DO;1128.12
67476;1;A;5;5;72;50;3;D;54;13;2;58770;1RC;0
67476;1;A;5;5;72;50;3;D;54;13;2;58781;2DO;975.7
67488;0.54;D;7;6;36;62;1;E;93;13;2;58637;2DO;1128.12
67488;0.54;D;7;6;36;62;1;E;93;13;2;58626;1RC;1549.86
67610;0.7;C;7;9;36;50;2;D;93;13;1;58138;1RC;1597.21
67862;1;A;6;4;38;57;1;D;82;10;1;97743;2DO;1623.79
67956;0.04;C;4;0;38;50;12;E;82;13;1;97719;2DO;1012.82
67986;1;C;9;1;52;50;12;E;82;13;2;97729;2DO;121.98
67986;1;C;9;1;52;50;12;E;82;13;2;97707;1RC;264.87
68030;0.51;A;4;8;35;56;2;D;82;13;1;37945;4BG;4555.87
68699;1;E;7;2;45;50;4;E;22;13;1;40917;2DO;1128.12
69098;0.31;C;7;6;31;106;12;D;93;-1;1;29686;1RC;80.21
69499;1;D;7;10;40;50;2;E;42;13;1;82342;1RC;140.17
69911;1;C;4;11;53;50;14;E;53;13;1;76735;4BG;356.36
70192;1;E;6;9;62;50;6;E;82;13;1;23819;1RC;2327.88
70281;0.66;E;4;5;30;90;6;E;53;2;1;23531;2DO;2790.59
70386;0.2;B;5;3;25;90;2;D;26;2;2;64115;1RC;4996.2
70386;0.2;B;5;3;25;90;2;D;26;2;2;64226;2DO;191.03
70505;0.29;E;6;8;34;76;1;D;82;5;1;36061;4BG;929.38
70652;1;D;5;1;37;62;1;D;82;13;2;23529;2DO;1128.12
70652;1;D;5;1;37;62;1;D;82;13;2;23528;1RC;523.24
70674;0.22;E;10;7;62;50;6;E;82;13;2;45021;1RC;0
70674;0.22;E;10;7;62;50;6;E;82;13;2;23753;1RC;1684.81
70718;0.12;A;7;11;43;95;2;D;74;1;1;95487;2DO;158.23
70976;1;C;8;4;41;72;3;D;74;6;1;29059;4BG;187.95
71014;0.68;C;4;9;43;50;4;D;74;13;1;29089;4BG;20.64
71473;0.99;C;5;1;24;90;2;D;31;2;1;98332;2DO;295.74
71500;1;D;7;14;62;50;2;E;31;13;1;98406;4BG;1458.81
71799;1;C;7;2;35;64;2;E;24;8;2;64693;2DO;1128.12
71799;1;C;7;2;35;64;2;E;24;8;2;64682;1RC;466.84
71973;1;B;6;2;63;50;5;D;24;13;1;62688;1RC;1085.5
72098;1;D;12;8;56;62;13;E;52;13;2;99408;2DO;556.15
72098;1;D;12;8;56;62;13;E;52;13;2;99407;1RC;376.22
72103;1;E;4;3;65;50;2;E;52;13;1;98753;1RC;362.98
72108;1;C;6;6;53;54;2;D;52;11;1;99448;4BG;1309.7
72126;1;E;4;8;59;50;2;E;52;13;1;99434;2DO;1128.12
72353;0.61;E;4;7;50;77;6;E;52;4;2;99429;1RC;0
72353;0.61;E;4;7;50;77;6;E;52;4;2;99430;2DO;5870.78
72370;0.49;E;7;1;70;55;2;E;52;13;1;99436;1RC;1087.99
73358;1;D;7;13;34;60;1;E;54;9;2;52578;3VI;59.12
73358;1;D;7;13;34;60;1;E;54;9;2;52566;2DO;132.67
73602;0.67;A;5;10;65;50;2;D;54;13;1;52389;4BG;1597.67
73644;0.59;D;8;13;43;50;11;E;54;13;2;53089;1RC;1128.12
73644;0.59;D;8;13;43;50;11;E;54;13;2;53078;1RC;1128.12
73692;0.47;D;9;7;24;100;13;E;54;0;1;52677;1RC;169.71
74157;0.69;D;4;9;54;50;2;E;24;13;1;65403;4BG;0
74164;0.92;B;5;5;41;50;1;D;24;13;3;66302;2DO;287.74
74164;0.92;B;5;5;41;50;1;D;24;13;3;66313;4BG;6596.03
74252;0.66;B;5;2;54;50;2;D;24;13;2;66336;2DO;0
74252;0.66;B;5;2;54;50;2;D;24;13;2;66324;1RC;1128.12
74896;0.31;D;13;7;25;118;11;E;41;-1;1;97580;1RC;102.14
75033;1;B;5;10;31;64;2;D;41;8;1;97635;4BG;234.98
75233;0.94;B;7;14;43;50;1;E;53;13;1;25416;4BG;88.46
75318;0.78;A;7;9;59;50;3;D;26;13;1;25473;4BG;11315.01
75680;0.94;E;7;1;33;76;1;E;25;5;1;60980;2DO;203.84
75694;0.82;C;7;11;44;62;2;E;25;13;1;60657;4BG;0
75792;0.38;E;4;1;24;80;3;D;25;4;1;59557;1RC;0
75858;0.5;E;15;1;25;72;12;E;82;6;1;56893;2DO;700.67
76188;0.8;C;7;15;51;50;2;E;82;13;1;56871;1RC;530.18
76215;1;C;8;1;50;50;5;D;82;13;1;56250;4BG;745.82
76360;0.9;D;5;6;52;50;4;E;82;13;1;56782;1RC;639.55
76582;0.5;C;8;4;35;50;2;D;54;13;3;29629;2DO;990.37
76582;0.5;C;8;4;35;50;2;D;54;13;3;29646;2DO;0
76582;0.5;C;8;4;35;50;2;D;54;13;3;29606;2DO;248.84
76644;0.29;A;6;8;28;68;1;D;54;7;1;29623;4BG;0
76662;0.2;B;5;5;43;100;1;D;54;0;3;45945;2DO;19883.77
76662;0.2;B;5;5;43;100;1;D;54;0;3;45934;1RC;257.87
76662;0.2;B;5;5;43;100;1;D;54;0;3;29630;2DO;4124.08
76677;0.03;A;9;14;46;50;10;D;54;13;1;29625;1RC;287.82
77263;0.72;D;5;2;47;50;6;D;31;13;1;29390;2DO;0
77397;1;E;7;1;48;50;4;E;31;13;2;29500;1RC;255.81
77439;1;D;6;9;31;50;1;D;31;13;1;28250;4BG;294.08
77610;1;C;6;13;38;50;2;D;31;13;1;30523;1RC;1277.72
78130;0.77;E;7;7;25;95;1;E;72;1;3;47964;1RC;1128.12
78130;0.77;E;7;7;25;95;1;E;72;1;3;47066;1RC;1128.12
78130;0.77;E;7;7;25;95;1;E;72;1;3;46899;1RC;154.62
78186;1;C;6;2;25;72;2;E;72;6;1;47454;4BG;177.94
78508;1;B;5;8;31;51;3;D;24;12;1;65159;4BG;1287.45
79063;0.9;E;6;16;50;54;10;D;82;11;1;55086;1RC;1128.12
79264;0.2;E;5;11;29;95;2;D;82;1;1;34762;1RC;383.09
79346;0.24;A;10;1;46;50;6;D;82;13;1;53489;4BG;12.35
79744;0.87;F;7;6;27;80;1;E;11;4;2;95212;2DO;564.06
79963;1;D;8;9;39;64;1;D;24;8;1;96731;1RC;80.88
80227;0.53;A;6;6;42;50;1;D;24;13;1;28323;4BG;530.28
80273;0.51;A;4;2;53;50;4;D;24;13;1;28375;2DO;96.97
81190;0.69;A;4;9;35;50;2;E;24;13;1;24086;1RC;333.66
81230;0.22;C;9;8;28;76;1;E;24;5;1;24037;4BG;206.73
81610;1;B;7;12;40;54;2;E;53;11;1;92847;4BG;0
81636;0.97;D;7;11;28;85;1;E;24;3;2;45989;1RC;0
82118;0.38;E;4;12;35;50;2;E;93;13;3;98033;2DO;1444.23
82118;0.38;E;4;12;35;50;2;E;93;13;3;98022;1RC;207.32
82119;0.61;E;4;12;35;50;2;E;93;13;1;25616;4BG;442.75
82169;0.75;D;5;10;40;85;6;D;24;3;1;80525;4BG;90.96
82326;1;C;7;9;29;68;2;D;74;7;1;29030;1RC;2410.01
82515;0.66;E;6;1;23;95;2;E;11;1;2;29024;1RC;141.15
82515;0.66;E;6;1;23;95;2;E;11;1;2;29025;2DO;1128.12
82946;1;C;6;5;26;100;3;D;52;0;2;25202;1RC;327.17
83010;1;C;9;4;36;50;13;E;52;13;2;98814;3VI;71.67
83010;1;C;9;4;36;50;13;E;52;13;2;98815;4BG;1428.12
83263;0.28;A;4;20;68;50;1;E;93;13;1;30978;1RC;171.65
83542;0.8;A;4;10;49;50;3;D;24;13;1;28268;4BG;600.63
83555;0.28;C;6;3;41;68;1;D;24;7;2;28198;1RC;5786.59
83555;0.28;C;6;3;41;68;1;D;24;7;2;28199;2DO;139.08
83747;1;C;8;9;36;50;2;D;24;13;1;74655;4BG;0
84539;0.5;C;6;16;36;64;1;D;52;8;1;28580;1RC;561.61
85308;0.41;F;5;1;28;57;3;E;11;10;2;98181;3VI;0
85308;0.41;F;5;1;28;57;3;E;11;10;2;98180;2DO;374.01
85565;1;E;6;4;44;50;1;D;82;13;1;28410;4BG;145.87
86647;1;A;7;14;22;90;3;E;72;2;2;26948;4BG;242.64
86684;1;E;6;9;57;50;1;D;72;13;2;26929;4BG;348.78
86684;1;E;6;9;57;50;1;D;72;13;2;26999;4BG;247.47
86738;0.69;B;5;8;30;50;4;D;72;13;1;26961;4BG;70.77
86839;1;E;6;3;37;61;3;E;72;13;2;69432;4BG;503.81
86839;1;E;6;3;37;61;3;E;72;13;2;69700;2DO;0
86997;1;E;6;13;49;90;1;D;72;2;1;70188;1RC;201.81
87179;1;B;5;9;19;95;5;E;24;1;2;75908;3VI;0
87179;1;B;5;9;19;95;5;E;24;1;2;75919;4BG;1128.12
87435;1;D;5;9;71;50;2;E;53;13;1;27254;1RC;58.2
87526;1;B;5;2;47;50;3;E;53;13;1;27276;4BG;1029.73
87716;0.83;D;5;10;80;50;3;D;54;13;1;27043;2DO;452.54
88064;0.51;E;5;3;46;50;3;D;82;13;1;53820;2DO;106.71
88327;0.44;C;6;7;27;50;1;D;26;13;1;90064;4BG;472.5
88333;1;B;13;7;53;50;11;E;26;13;3;91074;4BG;176.03
88333;1;B;13;7;53;50;11;E;26;13;3;89107;4BG;535.93
88333;1;B;13;7;53;50;11;E;26;13;3;89040;2DO;1613.61
88338;0.51;A;6;5;31;50;2;D;24;13;1;88818;2DO;605.92
88519;1;C;5;12;67;50;1;D;24;13;1;89418;1RC;747.09
88565;1;B;7;5;44;50;2;E;24;13;2;62732;2DO;1606.35
88565;1;B;7;5;44;50;2;E;24;13;2;62865;2DO;485.42
88668;0.69;E;7;0;27;64;1;E;26;8;1;63250;4BG;301.91
88727;1;B;4;9;30;50;1;D;24;13;1;62088;3VI;450.61
88851;0.33;D;6;4;29;50;5;E;24;13;1;64970;1RC;16344.79
88914;0.79;E;4;9;60;50;1;E;93;13;1;29829;1RC;0
89062;1;E;6;4;64;50;2;D;93;13;2;84515;1RC;304.49
89088;0.79;E;5;5;70;50;3;D;93;13;2;26687;2DO;563.26
89336;1;B;9;1;60;50;1;E;24;13;1;39931;4BG;1128
89607;1;D;4;13;21;106;1;E;72;-1;1;47488;1RC;419.05
89981;1;E;5;15;76;55;12;E;54;13;1;99179;4BG;111.32
90338;1;A;7;8;53;50;2;E;24;13;1;28752;4BG;240.71
90472;0.16;C;6;1;31;50;2;D;54;13;2;26986;3VI;0
90472;0.16;C;6;1;31;50;2;D;54;13;2;26975;2DO;749.53
90877;1;C;7;1;29;54;6;D;25;11;2;45312;2DO;0
90877;1;C;7;1;29;54;6;D;25;11;2;42438;2DO;0
91213;0.72;C;10;11;38;106;2;D;82;-1;2;29464;1RC;1681.3
91213;0.72;C;10;11;38;106;2;D;82;-1;2;29465;2DO;1198.86
91328;1;D;6;4;46;50;2;D;82;13;2;29541;1RC;772.22
91328;1;D;6;4;46;50;2;D;82;13;2;29542;2DO;3185.88
91375;0.81;D;6;6;42;51;3;D;82;12;2;29595;2DO;2767.37
91375;0.81;D;6;6;42;51;3;D;82;12;2;29532;2DO;0
91671;0.01;C;6;6;50;50;2;D;82;13;2;71854;2DO;1306.87
91671;0.01;C;6;6;50;50;2;D;82;13;2;71843;1RC;305.3
92000;0.5;E;9;5;44;50;2;E;11;13;1;87033;4BG;167.86
92271;1;B;10;10;54;50;2;D;24;13;1;63715;4BG;1128.12
92306;0.72;E;10;4;31;74;6;E;11;5;2;63416;1RC;1232.14
92306;0.72;E;10;4;31;74;6;E;11;5;2;63427;2DO;564.06
92513;1;D;5;15;40;50;2;D;72;13;1;51857;1RC;339.75
92950;1;C;5;10;30;51;2;D;24;12;2;30205;4BG;1449.09
92950;1;C;5;10;30;51;2;D;24;12;2;30209;2DO;198.48
93111;0.21;C;5;1;21;85;2;E;24;3;1;30222;4BG;2040.86
93313;1;A;5;1;35;50;1;D;82;13;1;89841;1RC;214.23
93343;1;D;7;3;58;50;1;D;82;13;1;98037;4BG;1091.26
93656;0.53;C;6;11;52;50;2;D;41;13;1;97443;2DO;1128.12
94008;0.87;E;5;4;38;50;1;E;93;13;1;25611;1RC;589.06
94103;0.9;D;5;9;64;55;2;E;31;13;1;30579;2DO;405.57
94144;1;D;4;7;42;50;4;D;31;13;1;30516;2DO;6128.45
94185;1;C;6;4;35;50;1;D;31;13;2;30593;3VI;359.17
94200;1;D;5;3;38;63;3;D;31;13;2;30620;4BG;667.86
94200;1;D;5;3;38;63;3;D;31;13;2;98000;2DO;1422.04
94216;1;E;6;6;67;50;2;E;31;13;1;30600;1RC;3155.47
94434;1;C;5;5;31;50;1;E;82;13;1;77243;2DO;318.61
94913;0.45;D;7;7;35;50;2;E;11;13;1;90918;3VI;576.48
95251;1;E;5;4;46;64;1;D;82;8;2;23473;2DO;131.91
95251;1;E;5;4;46;64;1;D;82;8;2;23756;4BG;403.3
95268;1;C;9;3;42;50;12;E;82;13;3;24081;3VI;3689.49
95268;1;C;9;3;42;50;12;E;82;13;3;23787;1RC;101.12
95268;1;C;9;3;42;50;12;E;82;13;3;24070;2DO;1128.12
95357;1;E;4;1;66;83;1;E;82;3;4;23670;1RC;844.24
95357;1;E;4;1;66;83;1;E;82;3;4;23047;2DO;1436.45
95357;1;E;4;1;66;83;1;E;82;3;4;23671;2DO;0
95357;1;E;4;1;66;83;1;E;82;3;4;23036;1RC;109.4
95362;0.48;E;6;1;33;50;2;D;82;13;1;23716;1RC;1128.12
95904;0.73;E;5;8;26;68;5;D;72;7;2;99787;1RC;0
95904;0.73;E;5;8;26;68;5;D;72;7;2;99788;2DO;665.73
95918;0.99;C;4;5;80;50;2;E;24;13;1;59568;2DO;259.61
96155;0.33;C;6;12;20;95;6;E;24;1;1;43571;4BG;335.81
96197;0.86;A;7;1;40;50;2;D;24;13;1;99313;4BG;1093.38
96205;1;A;7;1;36;73;1;D;24;5;1;99227;2DO;108.37
96395;0.66;A;5;0;60;77;5;E;24;4;3;99279;2DO;217.39
96395;0.66;A;5;0;60;77;5;E;24;4;3;99296;1RC;0
96395;0.66;A;5;0;60;77;5;E;24;4;3;99297;2DO;259.69
96698;0.45;C;6;4;25;80;3;E;24;4;1;97030;4BG;512.77
97930;0.33;B;7;12;29;100;11;D;24;0;1;28732;4BG;128.23
98456;1;A;5;1;25;72;12;E;82;6;1;54609;4BG;18.23
98717;0.91;C;7;7;34;62;6;D;82;13;3;53433;1RC;1128.12
98717;0.91;C;7;7;34;62;6;D;82;13;3;53886;1RC;0
98717;0.91;C;7;7;34;62;6;D;82;13;3;53897;2DO;1282.77
98809;1;D;8;19;29;95;1;D;24;1;1;30632;1RC;5947.35
98885;0.07;D;9;13;43;100;1;E;52;0;1;73461;1RC;275.85
98924;0.09;D;5;7;26;90;3;D;43;2;1;39353;4BG;3050.32
99033;0.93;E;8;1;33;85;14;E;93;3;1;84184;2DO;875.18
99187;0.13;D;6;3;53;50;4;E;24;13;1;73760;1RC;1128.12
99273;0.58;D;6;16;38;125;1;D;24;-1;1;74126;1RC;77.02
99555;0.02;E;11;4;39;50;11;E;31;13;1;98369;4BG;1128.12
99670;0.5;E;4;10;40;62;1;E;93;13;1;29692;1RC;1079.08
99762;0.36;E;4;1;44;57;1;E;93;10;1;29867;1RC;1981.05
100022;0.46;B;6;1;36;57;4;D;82;10;4;23476;2DO;109.4
100022;0.46;B;6;1;36;57;4;D;82;10;4;23507;2DO;3949.04
100022;0.46;B;6;1;36;57;4;D;82;10;4;23475;1RC;107.57
100022;0.46;B;6;1;36;57;4;D;82;10;4;23506;1RC;3933.18
100143;0.81;E;5;7;27;68;1;D;82;7;1;23708;3VI;1128.12
100568;0.11;C;4;14;55;62;2;E;72;13;1;69755;1RC;1004.52
100662;0.52;A;6;6;29;51;2;D;72;12;1;69966;3VI;249.52
100742;0.73;D;5;3;24;85;6;D;53;3;1;24711;4BG;0
100815;0.14;C;4;15;24;100;5;D;53;0;1;23525;1RC;426.5
101167;0.72;E;4;12;35;80;1;D;22;4;1;41284;1RC;1128.12
101212;0.55;C;5;12;21;100;3;D;22;0;1;49583;1RC;567.27
101264;0.83;B;5;0;52;50;2;E;22;13;1;49804;2DO;646.36
101645;0.49;E;10;4;25;72;10;E;82;6;1;56993;4BG;0
101649;0.5;D;10;4;67;62;2;E;82;13;2;57727;2DO;1128.12
101649;0.5;D;10;4;67;62;2;E;82;13;2;57716;1RC;2873.12
102583;0.4;C;4;11;42;75;1;D;24;5;1;99072;1RC;36.17
103195;0.52;C;5;0;51;50;2;D;41;13;1;97638;4BG;244.32
103403;0.62;D;6;5;40;50;2;D;41;13;1;97593;4BG;651.21
103525;0.8;E;4;1;26;68;1;E;93;7;1;31113;2DO;1128.12
103702;0.12;E;7;15;52;50;3;E;93;13;1;31125;1RC;1128.12
103835;0.47;A;5;6;43;50;3;E;24;13;1;96453;1RC;444.04
104173;0.83;D;6;3;25;95;3;D;24;1;1;63593;4BG;875.54
104472;0.95;D;5;0;31;58;5;D;72;13;2;30488;2DO;564.06
104472;0.95;D;5;0;31;58;5;D;72;13;2;30486;1RC;171.04
104499;1;D;7;13;69;50;2;E;82;13;2;30564;1RC;0
104499;1;D;7;13;69;50;2;E;82;13;2;30566;2DO;1128.12
104528;0.43;E;4;9;34;50;1;E;31;13;1;30519;1RC;0
104699;0.25;C;9;14;55;50;1;E;82;13;1;98246;1RC;1091.17
104840;0.16;B;7;0;58;91;13;D;82;1;2;98319;3VI;310.42
104840;0.16;B;7;0;58;91;13;D;82;1;2;98318;2DO;1235
105786;0.46;C;7;9;71;50;6;D;24;13;2;68424;1RC;72.93
105786;0.46;C;7;9;71;50;6;D;24;13;2;68435;2DO;320.9
106309;0.97;B;6;3;56;50;2;D;54;13;1;28079;4BG;1088.71
106523;1;E;7;1;69;65;10;D;93;7;2;36405;2DO;1072.47
106523;1;E;7;1;69;65;10;D;93;7;2;36394;1RC;214.11
106795;0.43;C;6;0;50;50;1;D;93;13;1;26900;4BG;37.96
107133;0.41;A;4;0;19;85;4;D;25;3;1;61157;4BG;65.64
108225;1;E;5;4;54;50;3;D;93;13;2;40461;2DO;1128.12
108767;0.18;D;5;10;47;64;5;D;24;8;1;26402;1RC;1189.1
108786;0.73;A;7;1;31;60;3;D;24;9;3;68845;2DO;0
108786;0.73;A;7;1;31;60;3;D;24;9;3;68280;2DO;9512.82
108786;0.73;A;7;1;31;60;3;D;24;9;3;68834;1RC;119.57
108804;0.65;A;6;4;65;50;2;D;24;13;1;68358;4BG;238.35
108830;0.38;A;5;14;28;68;1;E;24;7;1;69022;4BG;105.11
109191;0.65;A;9;12;29;66;2;E;24;7;2;91482;4BG;100.22
109191;0.65;A;9;12;29;66;2;E;24;7;2;91284;4BG;1829.7
109575;0.43;F;7;8;31;50;2;E;11;13;1;30915;1RC;65.94
110059;0.65;E;7;12;31;50;3;E;82;13;1;54487;4BG;233.33
111287;0.77;C;6;1;36;60;3;D;82;9;3;98711;3VI;230.66
111287;0.77;C;6;1;36;60;3;D;82;9;3;98712;4BG;401.78
111287;0.77;C;6;1;36;60;3;D;82;9;3;98695;4BG;1129.17
111900;0.28;E;4;8;26;95;13;E;22;1;1;31129;1RC;0
111973;0.26;E;7;13;25;90;1;E;22;2;2;49926;3VI;344.78
111973;0.26;E;7;13;25;90;1;E;22;2;2;49870;4BG;4228.95
112039;0.29;E;6;4;31;104;3;D;31;-1;3;50556;2DO;4460.57
112039;0.29;E;6;4;31;104;3;D;31;-1;3;50857;2DO;1128.12
112039;0.29;E;6;4;31;104;3;D;31;-1;3;50846;1RC;0
112234;0.08;D;6;9;36;73;1;D;24;5;2;99710;2DO;1128.12
112234;0.08;D;6;9;36;73;1;D;24;5;2;99707;1RC;1128.12
112860;0.8;E;8;13;38;58;2;D;93;13;1;29905;1RC;4074.95
113314;0.44;D;6;7;21;85;2;E;82;3;2;23775;1RC;276
113314;0.44;D;6;7;21;85;2;E;82;3;2;23646;4BG;503.63
113450;0.15;E;6;10;18;50;1;D;11;13;1;30907;4BG;708.21
114015;0.1;E;9;1;50;50;4;D;82;13;1;99431;2DO;1208.84
114186;0.5;E;5;6;54;50;4;D;82;13;1;98169;2DO;233.99
114269;0.21;E;6;10;49;50;2;D;82;13;1;98228;4BG;1128.12
115178;0.17;C;5;14;44;61;6;E;25;13;1;60557;1RC;125.3
115186;0.4;C;6;7;30;80;1;D;25;4;1;60880;4BG;821.53
116150;0.73;E;4;1;43;50;3;E;93;13;2;29719;2DO;0
116150;0.73;E;4;1;43;50;3;E;93;13;2;29720;3VI;115.15
116358;0.67;D;6;9;26;95;3;E;93;1;1;29903;4BG;1128.12
116387;0.41;E;4;14;23;125;4;E;93;-1;1;29917;1RC;166.11
116497;0.6;C;7;10;45;50;2;D;53;13;1;23171;4BG;1428.12
120391;0.25;D;4;6;24;85;2;E;54;3;1;81890;1RC;5303.76
121527;0.07;C;7;4;57;50;4;E;93;13;1;29929;2DO;130.52
125395;1;A;7;4;54;50;2;D;24;13;1;25930;4BG;256.31
125855;0.45;B;6;8;34;50;6;D;24;13;1;30867;4BG;296.62
126088;1;C;6;7;43;50;1;D;24;13;1;24266;4BG;398.57
126164;1;A;8;4;50;50;13;D;24;13;1;26296;4BG;423.5
126258;1;C;6;7;51;50;1;D;53;13;1;23109;1RC;253.32
126317;0.6;E;7;3;40;50;5;E;52;13;1;25132;4BG;677.85
127039;1;D;6;3;74;52;1;D;24;13;2;29268;2DO;1882.25
127039;1;D;6;3;74;52;1;D;24;13;2;28333;2DO;311.18
127149;1;B;5;4;81;50;1;E;24;13;1;28849;3VI;699.59
127450;1;A;6;2;67;50;2;D;24;13;1;30681;2DO;433.22
127675;0.61;C;6;9;37;72;6;D;11;6;1;30002;4BG;833.21
127795;1;D;6;4;51;70;2;E;25;6;1;97776;2DO;983.95
128137;1;D;7;1;64;50;1;E;24;13;1;97945;2DO;1128.12
128259;0.29;C;6;18;80;50;1;E;54;13;1;37291;1RC;0
128323;1;E;4;14;55;50;1;E;82;13;3;23557;2DO;67.73
128323;1;E;4;14;55;50;1;E;82;13;3;23618;4BG;535.05
128323;1;E;4;14;55;50;1;E;82;13;3;23559;3VI;1954.87
128379;0.75;E;6;5;66;69;1;D;82;6;2;28427;2DO;0.0099999999999909
128578;0.72;D;8;2;45;50;3;D;52;13;1;24868;1RC;85.25
128652;1;C;6;13;46;50;1;D;53;13;1;27608;4BG;30.49
